GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Leighton-ims,com.qa.ims.controller,ItemController,4,108,0,2,2,30,2,7,2,6
Leighton-ims,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
Leighton-ims,com.qa.ims.controller,CustomerController,2,118,0,2,1,30,1,7,1,6
Leighton-ims,com.qa.ims.controller,OrderController,213,58,10,4,52,19,10,6,4,5
Leighton-ims,com.qa.ims,Ims,181,89,14,9,43,26,14,11,5,5
Leighton-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
Leighton-ims,com.qa.ims.persistence.dao,ItemDaoMysql,64,240,0,2,22,50,2,11,2,10
Leighton-ims,com.qa.ims.persistence.dao,OrderDaoMysql,145,259,1,1,32,59,3,10,2,10
Leighton-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,64,240,0,2,22,50,2,11,2,10
Leighton-ims,com.qa.ims.services,ItemServices,3,28,0,0,2,8,2,5,2,5
Leighton-ims,com.qa.ims.services,OrderServices,0,41,0,0,0,11,0,7,0,7
Leighton-ims,com.qa.ims.services,CustomerServices,3,28,0,0,2,8,2,5,2,5
Leighton-ims,com.qa.ims.utils,Utils,24,0,0,0,6,0,3,0,3,0
Leighton-ims,com.qa.ims.persistence.domain,Order,29,269,0,30,9,72,5,33,5,18
Leighton-ims,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,8,3,3,2,3
Leighton-ims,com.qa.ims.persistence.domain,Item,2,175,1,27,1,47,1,24,0,11
Leighton-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
